ts,gatewayId,linkQuality,ieee,receivedSync,flowRate,flowSpeed,totalFlowRate,positiveTotalFlow,positiveTotalFlowDecimal,quality,upstream,downstream,inletTemp,outletTemp,degree,unit
"2017-05-01 00:00:22.773",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:01:15.189",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:02:22.871",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:03:34.891",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:04:13.617",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:05:22.566",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:06:04.604",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:07:36.361",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:08:06.556",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:09:38.210",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:10:05.447",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:11:14.560",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:12:26.657",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:13:29.980",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:14:40.093",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:15:03.176",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:16:23.178",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:17:03.575",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:18:52.532",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:19:51.529",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:20:03.712",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:21:38.060",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:22:15.546",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:23:50.044",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:24:44.366",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:25:31.001",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:26:28.583",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:27:14.047",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:28:19.340",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:29:29.987",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:30:10.041",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:31:20.132",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:32:19.723",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:33:06.190",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:34:07.057",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:35:09.243",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:36:23.640",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:37:20.576",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:38:36.201",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:39:44.240",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:40:09.069",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:41:13.194",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:42:02.653",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017-05-01 00:43:28.325",18,157,c235ec,NULL,0,0,438761,443804,1058008399,NULL,NULL,NULL,NULL,NULL,NULL,NULL
