year,month,day,hour,minute,ain1,ain2,ain3,ain4,ain5,voltage1,voltage2,voltage3,voltage4,voltage5,value1,value2,value3,value4,value5
2017,7,1,0,0,10668.266666666666,11103.733333333334,17236.066666666666,17225.333333333332,2248.0,1.0743798812230427,1.1182348648707072,1.7358099381128946,1.7347290058930716,0.22639159858226776,10.987345195741966,12.150166790662395,28.52526425780803,28.496603174772325,0.0
2017,7,1,1,0,10694.285714285714,11194.252100840336,17245.0756302521,17241.546218487394,2248.0,1.0770002072598754,1.1273508322339099,1.7367172110982303,1.7363617720724154,0.22639159858226776,11.05682354114146,12.391878058729105,28.54932073969643,28.539896219595935,0.0
2017,7,1,2,0,10725.675977653631,11288.13407821229,17240.782122905028,17258.256983240222,2248.0,1.0801614576211855,1.1368054957363192,1.7362848213931035,1.7380446788318997,0.22639159858226776,11.140644577688056,12.642569906698663,28.537855860571597,28.584518749566232,0.0
2017,7,1,3,0,10761.221757322175,11380.585774058578,17219.112970711296,17268.100418410042,2248.0,1.0837412025140418,1.1461161210447175,1.734102561882849,1.739035991445246,0.22639159858226776,11.235562060708054,12.8894425599369,28.47999291608548,28.610803555037307,0.0
2017,7,1,4,0,10797.76,11467.373333333333,17188.893333333333,17274.16,2248.0,1.0874208970864614,1.154856323003769,1.7310592031478882,1.7396462420622507,0.22639159858226776,11.333129724759585,13.121190350874492,28.39929779403199,28.62698444342774,0.0
2017,7,1,5,0,10831.522222222222,11546.833333333334,17156.233333333334,17277.144444444446,2248.0,1.0908210237820943,1.1628585808806948,1.7277700791756312,1.7399467991458044,0.22639159858226776,11.423284603824461,13.333371441675263,28.31208616914487,28.63495376044015,0.0
2017,7,1,6,0,10869.016627078385,11626.232779097387,17126.489311163896,17277.624703087888,2248.0,1.0945970106011615,1.1708547412074943,1.724774618046867,1.7399951647126477,0.22639159858226776,11.523405471514714,13.545390855002388,28.23266105944111,28.636236180837965,0.0
2017,7,1,7,0,10809.825,11584.575,17199.441666666666,17275.158333333333,2248.0,1.0886359394838412,1.1666594708959261,1.732121504843235,1.7397467811902365,0.22639159858226776,11.365346759652766,13.43415262141843,28.427464885863415,28.6296502537743,0.0
2017,7,1,8,0,10703.8293135436,11418.070500927644,17241.410018552877,17268.111317254174,2248.0296846011133,1.0779613254242792,1.149891134095767,1.7363480541834362,1.7390370906394577,0.22639458810354207,11.082307736183408,12.989537608019317,28.53953248767279,28.61083270033987,0.0
2017,7,1,9,0,10661.162790697674,11308.259136212624,17247.083056478405,17264.6511627907,2248.059800664452,1.0736644648238274,1.1388322495146843,1.736919374164949,1.7386886257665894,0.2263976210771605,10.968375820560992,12.69630959293373,28.554681124312335,28.601593100970806,0.0
2017,7,1,10,0,10643.45537065053,11264.108925869894,17308.708018154313,17288.574886535553,2248.1331316187593,1.071881186132532,1.1343859702844663,1.7431255016312477,1.7410979355698093,0.22640500620075146,10.92109191347624,12.578415819503512,28.71923754272582,28.66547631868094,0.0
2017,7,1,11,0,10647.74479889043,11214.52427184466,17334.43550624133,17311.267683772538,2248.3439667128987,1.0723131654497324,1.1293923978831997,1.7457164653296608,1.743383281769931,0.22642623929722797,10.932545911102489,12.446010483985823,28.787937341233903,28.726072622506308,0.0
2017,7,1,12,0,10642.030769230769,11187.420512820512,17393.958974358975,17340.169230769232,2248.5333333333333,1.0717377175123264,1.1266628320400531,1.7517109549962557,1.7462938987291776,0.22644531031449636,10.917287821081423,12.373635628423957,28.946882151038107,28.80324807608635,0.0
2017,7,1,13,0,10650.273483947682,11169.212841854935,17429.831153388823,17363.56718192628,2248.689655172414,1.0725678245179293,1.124829173513315,1.7553235702083738,1.7486502599772886,0.22646105340842543,10.939298235221928,12.325015892301561,29.042671195597748,28.865727354764243,0.0
2017,7,1,14,0,10636.690265486726,11130.022123893805,17472.433628318584,17388.62831858407,2248.862831858407,1.0711998853799516,1.1208823544789204,1.759613980102328,1.7511741174797042,0.22647849394552474,10.903027119880575,12.220365382309138,29.15643206975135,28.932647822227842,0.0
2017,7,1,15,0,10630.670807453416,11116.393374741201,17516.592132505175,17407.52380952381,2248.9896480331263,1.0705936777542344,1.1195098308549412,1.7640610951814593,1.7530770441266568,0.22649126553880997,10.886953432022127,12.183972708620693,29.27434800584326,28.98310421314577,0.0
2017,7,1,16,0,10632.167315175097,11088.272373540856,17511.96887159533,17405.906614785992,2249.0389105058366,1.0707443881243583,1.1166778209144503,1.7635954957064024,1.7529141797397851,0.22649622673770334,10.890949540522968,12.108881532158538,29.262002564592404,28.978785839033065,0.0
2017,7,1,17,0,10631.735537190083,11080.95867768595,17533.31129476584,17414.70707070707,2249.0174471992655,1.0707009046093054,1.115941273060493,1.765744848794298,1.7538004559699936,0.22649406517887466,10.889796568474619,12.089351853225017,29.318992990259726,29.002285588749768,0.0
2017,7,1,18,0,10619.268292682927,11045.818815331011,17531.341463414636,17414.101045296167,2248.98606271777,1.0694453532479782,1.1124024079651782,1.7655464712958717,1.7537394241796553,0.2264909044635005,10.856505432210318,11.995518304285556,29.313732980565717,29.000667321499858,0.0
2017,7,1,19,0,10617.000828500415,11029.478044739022,17528.20878210439,17413.905550952775,2248.937862468931,1.0692170012955242,1.1107567613936695,1.76523098524879,1.753719736548031,0.22648605024063992,10.85045064528601,11.951883733894851,29.30536781980332,29.000145300937955,0.0
2017,7,1,20,0,10623.62401263823,11026.650868878358,17525.728278041075,17414.726698262242,2248.8941548183257,1.069884008988385,1.110472042131198,1.7649811790641075,1.7538024328331248,0.22648164846509178,10.868136456218425,11.944334359129336,29.298744170632023,29.002338005577823,0.0
