year,month,day,hour,minute,con_flowRate,con_flowSpeed,con_totalFlowRate,con_positiveTotalFlow,con_positiveTotalFlowDecimal,eva_flowRate,eva_flowSpeed,eva_totalFlowRate,eva_positiveTotalFlow,eva_positiveTotalFlowDecimal,ch1Watt,ch2Watt,ch3Watt,totalPositiveWattHour,totalNegativeWattHour,ch1Current,ch2Current,ch3Current,ch1Voltage,ch2Voltage,ch3Voltage,ch1PowerFactor,ch2PowerFactor,ch3PowerFactor,voltage12,voltage23,voltage31,ch1Hz,ch2Hz,ch3Hz,i1THD,i2THD,i3THD,v1THD,v2THD,v3THD,ain1,ain2,ain3,ain4,ain5,voltage1,voltage2,voltage3,voltage4,voltage5,value1,value2,value3,value4,value5
2017,6,1,0,0,202.1849822998047,1.7397132515907288,201813.5,202017.5,1056276344.5,239.30795288085938,3.565104126930237,331843.0,333191.0,1044381054.0,40218.0,37001.0,34600.0,94756200.0,55566900.0,195.54467929916044,189.18053597407192,172.31952640410248,225.2,222.9,223.7,0.913,0.877,0.897,388.1,386.9,388.9,60.03,60.03,60.03,41.1,43.5,44.4,2.4,2.5,2.8,10096.0,10924.0,19042.0,18248.0,2292.0,1.016748070716858,1.100134253501892,1.917681872844696,1.8377196788787842,0.23082275688648224,9.459228930795572,11.670226313429055,33.3476264074599,31.22741661174309,0.0
2017,6,1,0,30,202.52213287353516,1.7426142692565918,201914.5,202118.5,1056997213.5,239.00038146972656,3.5605218410491943,331965.0,333312.0,1061617663.0,40386.0,36793.0,34338.0,94812000.0,55594500.0,196.44083139840652,188.50651732454656,171.00317237634962,225.2,222.9,223.8,0.913,0.874,0.899,388.2,387.0,389.0,60.0,60.0,60.0,40.5,44.0,44.3,2.4,2.6,2.8,10266.0,11090.0,18990.0,18212.0,2292.0,1.0338683724403381,1.116851806640625,1.912445068359375,1.8340942859649658,0.23082275688648224,9.913176347936531,12.113494790282854,33.208771736054004,31.13128876446971,0.0
2017,6,1,1,0,202.48798370361328,1.7423204183578491,202015.5,202219.5,1055752090.5,239.53260040283203,3.5684508085250854,332082.0,333430.0,1054899678.0,40335.0,36534.0,34325.0,94867400.0,55621800.0,197.41536897465224,188.37368235757037,171.73068640431336,223.9,221.5,222.5,0.913,0.876,0.9,385.7,384.7,386.6,59.98,59.98,59.98,40.5,44.0,44.3,2.4,2.6,2.8,10382.0,11232.0,19064.0,18290.0,2296.0,1.045550525188446,1.1311523914337158,1.919897437095642,1.841949462890625,0.23122557997703552,10.222930413741146,12.492676982003552,33.40637243223629,31.339569981365422,0.0
2017,6,1,1,30,203.0700912475586,1.7473292350769043,202117.0,202321.0,1057095509.0,238.9627685546875,3.559961676597595,332202.0,333549.5,1055293149.0,40261.0,36406.0,34637.0,94938600.0,55655550.0,196.143051089897,187.39904680169133,172.38524180655315,224.55,222.2,223.3,0.913,0.876,0.899,386.95,385.9,387.9,60.02,60.02,60.02,40.6,43.9,44.2,2.4,2.6,2.8,10090.0,10918.0,19520.0,18776.0,2296.0,1.016143798828125,1.0995299816131592,1.9658203125,1.890893578529358,0.23122557997703552,9.443206569299164,11.654203951932644,34.624024493175355,32.637330688934,0.0
2017,6,1,2,0,201.4687957763672,1.7335506677627563,202220.0,202424.0,1057161204.0,238.96382904052734,3.559977173805237,332322.0,333669.0,1057423197.0,39634.0,36231.0,34574.0,94994900.0,55683100.0,194.1924575461295,185.9415205879785,172.94570519323503,223.3,221.1,222.2,0.914,0.881,0.901,384.8,383.8,385.8,60.01,60.01,60.01,40.1,42.9,43.5,2.3,2.6,2.8,10242.0,11042.0,19086.0,18340.0,2296.0,1.031451404094696,1.112017810344696,1.922113060951233,1.84698486328125,0.23122557997703552,9.84909006280343,11.985320639590384,33.46512003743894,31.473084392414606,0.0
2017,6,1,2,30,201.20986938476562,1.7313228845596313,202319.0,202523.0,1057357720.5,239.02259826660156,3.5608530044555664,332441.0,333789.0,1046641886.0,39730.0,36270.0,34730.0,95048300.0,55709000.0,194.35415319634276,186.22210604744598,172.9347419074707,223.7,221.6,222.5,0.914,0.88,0.901,385.7,384.8,386.5,60.01,60.01,60.01,40.2,42.9,43.5,2.4,2.6,2.9,10300.0,11120.0,18900.0,18126.0,2292.0,1.03729248046875,1.119873046875,1.90338134765625,1.8254333138465881,0.23082275688648224,10.003967095705738,12.193603436912364,32.96844579616547,30.901641764868337,0.0
2017,6,1,3,0,202.3548355102539,1.7411748170852661,202420.0,202624.0,1057587097.0,238.9484634399414,3.559748411178589,332561.0,333908.0,1056996797.0,39809.0,36655.0,34499.0,95103700.0,55735900.0,194.68582887700532,187.06151437061516,172.1594612101015,224.4,222.4,223.1,0.914,0.88,0.899,386.8,385.8,387.5,59.98,59.98,59.98,40.2,42.9,43.8,2.4,2.6,2.9,10322.0,11156.0,18822.0,18054.0,2292.0,1.039508044719696,1.123498558998108,1.895526111125946,1.8181824088096619,0.23082275688648224,10.062713120482126,12.289734445038283,32.760162998843484,30.709382909469028,0.0
2017,6,1,3,30,201.87337493896484,1.7370321154594421,202521.0,202725.0,1057259382.0,239.10186004638672,3.562033772468567,332680.0,334027.0,1062108510.0,39838.5,36604.0,34923.5,95160250.0,55763450.0,194.2303288675427,186.7045223526768,173.45229105499124,224.64999999999998,222.7,223.5,0.913,0.879,0.9005000000000001,387.3,386.35,388.20000000000005,60.01,60.01,60.01,40.45,42.95,43.7,2.5,2.6,2.9,10300.0,11114.0,18864.0,18086.0,2292.0,1.03729248046875,1.1192688345909119,1.899755835533142,1.8214049935340881,0.23082275688648224,10.003967095705738,12.177582655842222,32.87231478803955,30.794830236028986,0.0
2017,6,1,4,0,201.32474517822266,1.7323113679885864,202622.0,202826.0,1056341951.0,238.94684600830078,3.559724450111389,332800.0,334147.0,1057914207.0,39950.0,36696.0,34968.0,95215000.0,55790400.0,194.8798981214183,186.93870281623538,173.63095238095238,225.0,223.1,223.8,0.912,0.878,0.899,388.1,387.0,388.8,60.02,60.02,60.02,40.8,43.5,44.4,2.5,2.7,2.9,10232.0,11058.0,18902.0,18148.0,2292.0,1.0304443836212158,1.113629162311554,1.903582751750946,1.8276488780975342,0.23082275688648224,9.82238876101986,12.028045883296627,32.97378605652219,30.960387789644724,0.0
2017,6,1,4,30,202.33355712890625,1.7409917116165161,202723.0,202927.0,1056702392.5,238.9289093017578,3.559457302093506,332921.0,334268.0,1060895677.0,40104.0,36918.0,34861.0,95272700.0,55818700.0,194.97864285964144,188.44562774652522,173.4616295570934,225.2,223.1,223.9,0.913,0.879,0.898,388.3,387.2,388.9,60.02,60.02,60.02,40.9,43.2,44.4,2.5,2.7,2.9,10220.0,11052.0,18972.0,18216.0,2292.0,1.02923583984375,1.1130249500274658,1.9106323719024658,1.834497094154358,0.23082275688648224,9.790344038027042,12.012025102226486,33.16070781241731,31.141969285183134,0.0
